path	area	role	lines	native_destination	dest_method	dest_confidence
tt_4.8.4/MemoryManager/DList.h	MemoryManager	utility	226	Code/wwlib	area-rule	high
tt_4.8.4/MemoryManager/FastAllocator.cpp	MemoryManager	utility	37	Code/wwlib	area-rule	high
tt_4.8.4/MemoryManager/FastAllocator.h	MemoryManager	utility	350	Code/wwlib	area-rule	high
tt_4.8.4/MemoryManager/FastCriticalSection.h	MemoryManager	utility	54	Code/wwlib	area-rule	high
tt_4.8.4/MemoryManager/MemTracker.cpp	MemoryManager	utility	462	Code/wwlib	area-rule	high
tt_4.8.4/MemoryManager/MemTracker.h	MemoryManager	utility	170	Code/wwlib	area-rule	high
tt_4.8.4/MemoryManager/MemoryManager.h	MemoryManager	utility	122	Code/wwlib	area-rule	high
tt_4.8.4/MemoryManager/MemoryManager_debug.cpp	MemoryManager	utility	122	Code/wwlib	area-rule	high
tt_4.8.4/MemoryManager/MemoryManager_release.cpp	MemoryManager	utility	143	Code/wwlib	area-rule	high
tt_4.8.4/MemoryManager/TSList.h	MemoryManager	utility	319	Code/wwlib	area-rule	high
tt_4.8.4/MemoryManager/dllmain_debug.cpp	MemoryManager	utility	68	Code/wwlib	area-rule	high
tt_4.8.4/MemoryManager/dllmain_release.cpp	MemoryManager	utility	22	Code/wwlib	area-rule	high
tt_4.8.4/MemoryManager/platform.h	MemoryManager	utility	52	Code/wwlib	area-rule	high
tt_4.8.4/Mute/General.cpp	Mute	custom gameplay script	12	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/Mute/General.h	Mute	custom gameplay script	18	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/Mute/Mute.cpp	Mute	custom gameplay script	171	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/Mute/Mute.h	Mute	custom gameplay script	14	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/NoPoints/General.cpp	NoPoints	custom gameplay script	12	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/NoPoints/General.h	NoPoints	custom gameplay script	18	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/NoPoints/NoPoints.cpp	NoPoints	custom gameplay script	84	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/NoPoints/NoPoints.h	NoPoints	custom gameplay script	23	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/PointsDistribution/DamagePoints.cpp	PointsDistribution	custom gameplay script	78	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/PointsDistribution/DamagePoints.h	PointsDistribution	custom gameplay script	23	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/PointsDistribution/General.cpp	PointsDistribution	custom gameplay script	12	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/PointsDistribution/General.h	PointsDistribution	custom gameplay script	18	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/PointsDistribution/PointsDistribution.cpp	PointsDistribution	custom gameplay script	81	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/PointsDistribution/PointsDistribution.h	PointsDistribution	custom gameplay script	14	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/SuddenDeath/General.cpp	SuddenDeath	custom gameplay script	12	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/SuddenDeath/General.h	SuddenDeath	custom gameplay script	18	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/SuddenDeath/SuddenDeath.cpp	SuddenDeath	custom gameplay script	231	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/SuddenDeath/SuddenDeath.h	SuddenDeath	custom gameplay script	24	DROP: directive 0.5 (no binary-plugin compatibility layer)	area-rule	high
tt_4.8.4/VFS/Console Client/main.cpp	VFS	utility	98	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/RPC VFS/RPC VFS.cpp	VFS	utility	540	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/RPC VFS/RPC VFS.h	VFS	engine wrapper/API	124	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/RPC VFS/RPC VFS_c.c	VFS	utility	3991	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
tt_4.8.4/VFS/RPC VFS/RPC VFS_h.h	VFS	engine wrapper/API	445	DROP: standalone out-of-process VFS provider, superseded by Code/wwlib file factory	area-rule	high
