class	method	arity	virtual	openw3d_class	source_kind	source_file	source_line	address	openw3d_has	openw3d_owners	declaration
HUDSurfaceClass	Create_Element	1	1	absent	declaration-only				nowhere		virtual HUDElementClass* Create_Element(HUDElementType type);
HUDSurfaceClass	Find_Element	1	1	absent	declaration-only				nowhere		virtual HUDElementClass* Find_Element(int id);
HUDSurfaceClass	Get_Element_Count	0	1	absent	declaration-only				nowhere		virtual int Get_Element_Count();
HUDSurfaceClass	Get_Element_Index	1	1	absent	declaration-only				nowhere		virtual HUDElementClass* Get_Element_Index(int index);
HUDSurfaceClass	HUDSurfaceClass	2	0	absent	declaration-only				nowhere		HUDSurfaceClass(int client, int srf_id);
HUDSurfaceClass	Remove_Element	1	1	absent	declaration-only				nowhere		virtual void Remove_Element(int id);
HUDSurfaceClass	~HUDSurfaceClass	0	1	absent	declaration-only				nowhere		virtual ~HUDSurfaceClass();
NavalFactoryGameObj	Get_Definition	0	0	absent	defined	tt_4.8.4/scripts/engine_obj.cpp	79				SCRIPTS_API const NavalFactoryGameObjDef & Get_Definition (void) const;
NavalFactoryGameObj	As_NavalFactoryGameObj	0	0	absent	inline-header	tt_4.8.4/scripts/NavalFactoryGameObj.h	25				NavalFactoryGameObj * As_NavalFactoryGameObj (void) { return this; }
NavalFactoryGameObj	Get_Max_Vehicles_Per_Team	0	0	absent	inline-header	tt_4.8.4/scripts/NavalFactoryGameObj.h	41				static int Get_Max_Vehicles_Per_Team(void) { return MaxVehiclesPerTeam; }
NavalFactoryGameObj	Is_Available	0	0	absent	inline-header	tt_4.8.4/scripts/NavalFactoryGameObj.h	33				bool Is_Available (void) const { return (IsBusy == false) && (IsDestroyed == false) && (IsDisabled == false); }
NavalFactoryGameObj	Is_Busy	0	0	absent	inline-header	tt_4.8.4/scripts/NavalFactoryGameObj.h	36				bool Is_Busy (void) const { return IsBusy; }
NavalFactoryGameObj	Is_Disabled	0	0	absent	inline-header	tt_4.8.4/scripts/NavalFactoryGameObj.h	37				bool Is_Disabled (void) const { return IsDisabled; }
NavalFactoryGameObj	Set_Disabled	1	0	absent	inline-header	tt_4.8.4/scripts/NavalFactoryGameObj.h	38				void Set_Disabled(bool disabled) { IsDisabled = disabled; Set_Object_Dirty_Bit (BIT_RARE, true);}
NavalFactoryGameObj	Set_Max_Vehicles_Per_Team	1	0	absent	inline-header	tt_4.8.4/scripts/NavalFactoryGameObj.h	40				static void Set_Max_Vehicles_Per_Team(int max) { MaxVehiclesPerTeam = max; }
NavalFactoryGameObj	Can_Spawn	1	0	absent	address-stub	tt_4.8.4/scripts/engine_tt.cpp	1254	AT2(0x007425B0,0x00741E50)			bool Can_Spawn(int definition_id);
NavalFactoryGameObj	Create_Vehicle	2	0	absent	address-stub	tt_4.8.4/scripts/engine_tt.cpp	1245	AT2(0x0073EE30,0x0073E6D0)			void Create_Vehicle(int defintion_id,SoldierGameObj * player);
NavalFactoryGameObj	Get_Team_Vehicle_Count	0	0	absent	address-stub	tt_4.8.4/scripts/engine_tt.cpp	1248	AT2(0x0073FB80,0x0073F420)			int Get_Team_Vehicle_Count(void) const;
NavalFactoryGameObj	Is_Available_For_Purchase	0	0	absent	address-stub	tt_4.8.4/scripts/engine_tt.cpp	1251	AT2(0x007408E0,0x00740180)			bool Is_Available_For_Purchase (void) const;
NavalFactoryGameObj	CnC_Initialize	1	0	absent	declaration-only				owned elsewhere	AirStripGameObj,BuildingGameObj,RefineryGameObj,RepairBayGameObj,SoldierFactoryGameObj,VehicleFactoryGameObj	void CnC_Initialize (BaseControllerClass *base);
NavalFactoryGameObj	Export_Rare	1	0	absent	declaration-only				owned elsewhere	BackgroundMgrClass,BeaconGameObj,BuildingGameObj,C4GameObj,CinematicGameObj,DSAPONetworkObjectClass	void Export_Rare (BitStreamClass &packet);
NavalFactoryGameObj	Get_Factory	0	0	absent	declaration-only				owned elsewhere	AccessiblePhysClass,AccessiblePhysDefClass,AirStripGameObj,AirStripGameObjDef,AmmoDefinitionClass,AttackActionCodeClass	const PersistFactoryClass & Get_Factory (void) const;
NavalFactoryGameObj	Import_Rare	1	0	absent	declaration-only				owned elsewhere	BackgroundMgrClass,BeaconGameObj,BuildingGameObj,C4GameObj,CinematicGameObj,DSAPONetworkObjectClass	void Import_Rare (BitStreamClass &packet);
NavalFactoryGameObj	Init	0	1	absent	declaration-only				owned elsewhere	AABoxClass,AccessiblePhysClass,ActiveCategoryStackClass,AirStripGameObj,AnimCollisionManagerClass,ArgvClass	virtual void Init( void );
NavalFactoryGameObj	Init	1	0	absent	declaration-only				owned elsewhere	AABoxClass,AccessiblePhysClass,ActiveCategoryStackClass,AirStripGameObj,AnimCollisionManagerClass,ArgvClass	void Init (const NavalFactoryGameObjDef & definition);
NavalFactoryGameObj	Load	1	0	absent	declaration-only				owned elsewhere	AABTreeCullSystemClass,AABTreeSoundCullClass,AccessiblePhysClass,AccessiblePhysDefClass,ActionClass,ActiveConversationClass	bool Load (ChunkLoadClass &cload);
NavalFactoryGameObj	Load_Variables	1	0	absent	declaration-only				owned elsewhere	AccessiblePhysClass,AccessiblePhysDefClass,ActiveConversationClass,AirStripGameObj,AirStripGameObjDef,AudibleSoundDefinitionClass	void Load_Variables (ChunkLoadClass &cload);
NavalFactoryGameObj	NavalFactoryGameObj	0	0	absent	declaration-only				nowhere		NavalFactoryGameObj (void);
NavalFactoryGameObj	On_Destroyed	0	0	absent	declaration-only				owned elsewhere	BuildingGameObj,ComCenterGameObj,PowerPlantGameObj,RefineryGameObj,SoldierFactoryGameObj,VehicleFactoryGameObj	void On_Destroyed (void);
NavalFactoryGameObj	On_Revived	0	0	absent	declaration-only				nowhere		void On_Revived (void);
NavalFactoryGameObj	Save	1	0	absent	declaration-only				owned elsewhere	AABTreeCullSystemClass,AABTreeSoundCullClass,AccessiblePhysClass,AccessiblePhysDefClass,ActionClass,ActiveConversationClass	bool Save (ChunkSaveClass &csave);
NavalFactoryGameObj	Think	0	0	absent	declaration-only				owned elsewhere	ActiveConversationClass,AirStripGameObj,AutoRestartClass,BaseControllerClass,BaseGameObj,BeaconGameObj	void Think (void);
NavalFactoryGameObj	~NavalFactoryGameObj	0	0	absent	declaration-only				nowhere		~NavalFactoryGameObj (void);
NetworkObjectClass	Set_Is_Delete_Pending	1	0	present	inline-header	tt_4.8.4/scripts/NetworkObjectClass.h	68				void Set_Is_Delete_Pending (bool pending) { IsDeletePending = pending; }
NetworkObjectClass	getLastHintRequestTime	0	0	present	inline-header	tt_4.8.4/scripts/NetworkObjectClass.h	136				ULONG getLastHintRequestTime() const { return LastHintRequestTime; }
NetworkObjectClass	setLastHintRequestTime	1	0	present	inline-header	tt_4.8.4/scripts/NetworkObjectClass.h	137				void setLastHintRequestTime(ULONG _lastHintRequestTime) { LastHintRequestTime = _lastHintRequestTime; }
NetworkObjectClass	Set_Dirty_Bits	1	0	present	declaration-only				nowhere		void Set_Dirty_Bits(uint8 dirtyBits);
NetworkObjectClass	Set_Object_Dirty_Bitx	3	0	present	declaration-only				nowhere		void Set_Object_Dirty_Bitx(int client_id, DIRTY_BIT dirty_bit, bool onoff);
PhysicsSceneClass	Add_Camera_Shake	4	0	present	declaration-only				nowhere		void Add_Camera_Shake(const Vector3 & position,float radius = 50.0f,float duration = 1.5f,float power = 1.0f);
PhysicsSceneClass	Create_Decal	6	0	present	declaration-only				owned elsewhere	HLodClass,MeshClass,MeshModelClass,RenderObjClass	int Create_Decal(const Matrix3D &tm,const char *texture_name,float radius,bool is_permanent = false,bool apply_to_translucent_polys = false,PhysClass *only_this
PhysicsSceneClass	Generate_Static_Directional_Shadow	2	0	present	declaration-only				nowhere		void Generate_Static_Directional_Shadow(StaticAnimPhysClass& obj, const Vector3& light_dir);
PhysicsSceneClass	Get_Dynamic_Shadow_Resolution	0	0	present	declaration-only				nowhere		uint Get_Dynamic_Shadow_Resolution();
PhysicsSceneClass	Get_Shadow_Render_Context	0	0	present	declaration-only				other arity		SpecialRenderInfoClass *Get_Shadow_Render_Context();
PhysicsSceneClass	Get_Static_Shadow_Resolution	0	0	present	declaration-only				nowhere		uint Get_Static_Shadow_Resolution();
PhysicsSceneClass	Optimize_LODs	4	0	present	declaration-only				owned elsewhere	PredictiveLODOptimizerClass	void Optimize_LODs(CameraClass & camera,RefMultiListClass<PhysClass> * dyn_obj_list,RefMultiListClass<PhysClass> * static_obj_list,RefMultiListClass<PhysClass> 
PhysicsSceneClass	Refresh_Polygon_Budgets	0	0	present	declaration-only				nowhere		void Refresh_Polygon_Budgets();
PhysicsSceneClass	Set_Dynamic_Shadow_Resolution	1	0	present	declaration-only				nowhere		void Set_Dynamic_Shadow_Resolution(uint res);
PhysicsSceneClass	Set_Static_Shadow_Resolution	1	0	present	declaration-only				nowhere		void Set_Static_Shadow_Resolution(uint res);
PhysicsSceneClass	Shatter_Mesh	4	0	present	declaration-only				owned elsewhere	ShatterSystem	void Shatter_Mesh(MeshClass * mesh,const Vector3 & impact_point,const Vector3 & impact_normal,const Vector3 & impact_velocity);
RenderObjClass	Set_Animation	3	1	present	inline-header	tt_4.8.4/scripts/RenderObjClass.h	176				virtual void Set_Animation (HAnimClass*, float, int anim_mode = ANIM_MODE_MANUAL) { }
RenderObjClass	Set_Animation	5	1	present	inline-header	tt_4.8.4/scripts/RenderObjClass.h	177				virtual void Set_Animation (HAnimClass*, float, HAnimClass*, float, float) { }
RenderObjClass	Register_For_Rendering	1	0	present	declaration-only				owned elsewhere	MeshModelClass	void Register_For_Rendering(bool hint_static = false);
RenderObjClass	Set_User_Lighting_Flag	0	0	present	declaration-only				nowhere		void Set_User_Lighting_Flag(); //Set the HAS_USER_LIGHTING flag appropriatly for this renderobj, intended to be called during vertex solve.
SceneClass	Compute_Point_Visibility	2	1	present	defined	tt_4.8.4/tt/SimpleSceneClass.cpp	172				virtual float Compute_Point_Visibility(RenderInfoClass& rinfo,const Vector3& point);
ScriptedDialogClass	As_ScriptedMenuDialogClass	0	1	absent	inline-header	tt_4.8.4/scripts/ScriptedDialogClass.h	49				virtual ScriptedMenuDialogClass* As_ScriptedMenuDialogClass() { return NULL; }
ScriptedDialogClass	As_ScriptedPopupDialogClass	0	1	absent	inline-header	tt_4.8.4/scripts/ScriptedDialogClass.h	50				virtual ScriptedPopupDialogClass* As_ScriptedPopupDialogClass() { return NULL; }
ScriptedDialogClass	Get_Client_ID	0	0	absent	inline-header	tt_4.8.4/scripts/ScriptedDialogClass.h	53				int Get_Client_ID() { return clientId; }
ScriptedDialogClass	Get_Dialog_ID	0	0	absent	inline-header	tt_4.8.4/scripts/ScriptedDialogClass.h	52				int Get_Dialog_ID() { return id; }
